company_id,company_name,total_employees,engineer_count,engineering_percentage,tech_strength_score,size_category,sector,funding_stage,region,last_updated,description,patent_count,patents_per_engineer,patent_portfolio_score,primary_patent_focus,ip_strength_score,investment_score
synthetic_15,TechBridge Digital,50,34,69.3,88.2,small,Database Technology,Series A/B,Research Triangle,2025-08-02,Growing cloud infrastructure company with strong technical team (69.3% engineers),106,3.12,86.2,Technical Innovation,100.0,92.9
synthetic_4,APIHub Software,38,26,69.7,85.3,small,Cloud Infrastructure,Series A/B,Denver,2025-08-02,Growing cloud infrastructure company with strong technical team (69.7% engineers),87,3.35,70.7,Security,100.0,91.2
synthetic_36,APISync Technologies,38,26,69.5,85.2,small,Database Technology,Series A/B,Denver,2025-08-02,Growing devops tools company with strong technical team (69.5% engineers),70,2.69,56.9,Software Systems,100.0,91.1
synthetic_22,APIFlow Labs,17,13,78.0,84.2,small,Cloud Infrastructure,Seed/Series A,Los Angeles,2025-08-02,Growing data analytics company with strong technical team (78.0% engineers),38,2.92,30.9,Security,100.0,90.5
synthetic_48,DevMesh Engine,46,29,64.0,83.6,small,AI/ML Platform,Series A/B,Research Triangle,2025-08-02,Growing database technology company with strong technical team (64.0% engineers),107,3.69,87.0,Software Systems,100.0,90.2
synthetic_24,DataSync Innovations,44,28,64.6,83.5,small,Enterprise Software,Series A/B,Boston,2025-08-02,Growing ai/ml platform company with strong technical team (64.6% engineers),82,2.93,66.7,User Interface,100.0,90.1
synthetic_49,DataMesh Platform,9,7,79.6,82.6,small,Enterprise Software,Seed/Series A,Austin,2025-08-02,Growing devops tools company with strong technical team (79.6% engineers),16,2.29,13.0,Database,72.0,78.4
synthetic_26,CloudCore Systems,86,55,64.4,82.2,small,Data Analytics,Series B/C,Los Angeles,2025-08-02,Growing enterprise software company with strong technical team (64.4% engineers),121,2.2,98.4,Visualization,100.0,89.3
synthetic_5,CodeFlow Systems,11,8,76.5,81.5,small,Enterprise Software,Seed/Series A,Austin,2025-08-02,Growing api management company with strong technical team (76.5% engineers),24,3.0,19.5,Database,88.0,84.1
synthetic_14,TechFlow Platform,32,21,65.7,81.2,small,DevOps Tools,Series A/B,Los Angeles,2025-08-02,Growing api management company with strong technical team (65.7% engineers),60,2.86,48.8,Software Systems,100.0,88.7
synthetic_8,CloudFlow Analytics,106,63,59.5,79.8,medium,Database Technology,Series B/C,Denver,2025-08-02,Growing developer tools company with strong technical team (59.5% engineers),118,1.87,95.9,Technical Innovation,100.0,87.9
synthetic_10,TechCore Logic,47,27,57.9,79.7,small,Monitoring,Series A/B,San Francisco,2025-08-02,Growing monitoring company with strong technical team (57.9% engineers),84,3.11,68.3,Software Systems,100.0,87.8
synthetic_39,CloudMesh Platform,35,21,62.6,79.7,small,Automation,Series A/B,Research Triangle,2025-08-02,Growing ai/ml platform company with strong technical team (62.6% engineers),72,3.43,58.5,Software Systems,100.0,87.8
synthetic_16,DataCore Systems,15,10,70.9,79.4,small,Enterprise Software,Seed/Series A,San Francisco,2025-08-02,Growing business intelligence company with strong technical team (70.9% engineers),31,3.1,25.2,Database,100.0,87.6
synthetic_35,DataCore Networks,112,64,57.9,78.9,medium,Business Intelligence,Series B/C,Research Triangle,2025-08-02,Growing cloud infrastructure company with strong technical team (57.9% engineers),112,1.75,91.1,Technical Innovation,100.0,87.3
synthetic_37,DataFlow Digital,36,21,60.8,78.8,small,Developer Tools,Series A/B,Chicago,2025-08-02,Growing data analytics company with strong technical team (60.8% engineers),76,3.62,61.8,Version Control,100.0,87.3
synthetic_7,CodeSync Labs,20,13,66.9,78.6,small,Data Analytics,Seed/Series A,Austin,2025-08-02,Growing api management company with strong technical team (66.9% engineers),31,2.38,25.2,Data Processing,100.0,87.2
synthetic_46,DataLink Analytics,47,26,56.2,78.5,small,DevOps Tools,Series A/B,Research Triangle,2025-08-02,Growing automation company with strong technical team (56.2% engineers),85,3.27,69.1,Technical Innovation,100.0,87.1
synthetic_30,APICore Networks,22,14,65.6,78.4,small,Cybersecurity,Series A/B,Denver,2025-08-02,Growing monitoring company with strong technical team (65.6% engineers),39,2.79,31.7,Authentication,100.0,87.0
synthetic_33,APIFlow Analytics,37,21,58.8,77.8,small,Cloud Infrastructure,Series A/B,Austin,2025-08-02,Growing cloud infrastructure company with strong technical team (58.8% engineers),73,3.48,59.3,Networking,100.0,86.7
synthetic_44,DataLink Works,17,11,66.4,77.6,small,DevOps Tools,Seed/Series A,Research Triangle,2025-08-02,Growing developer tools company with strong technical team (66.4% engineers),44,4.0,35.8,Technical Innovation,100.0,86.6
synthetic_3,TechStack Labs,30,18,60.4,77.4,small,DevOps Tools,Series A/B,San Francisco,2025-08-02,Growing devops tools company with strong technical team (60.4% engineers),60,3.33,48.8,Software Systems,100.0,86.4
