name,employees,technical_density,stage,domain,engineers,location,industry,founded_year,faang_alumni,patent_holders,pattern_match,pattern_match_score,success_probability
Stripe,8000,73,Late Stage,,,,,,,,,,
Airbnb,6000,51,Public,,,,,,,,,,
Plaid,800,68,Late Stage,,,,,,,,,,
Coinbase,5000,64,Public,,,,,,,,,,
Figma,1200,71,Late Stage,,,,,,,,,,
CloudWorks,240,39,Series A,neuralworks.cloud,93.0,Austin,B2B SaaS,2015.0,2.0,0.0,Uber Ops-Heavy,72.0,37.2
NeuralVentures,466,69,Series C,aitechnologies.cloud,321.0,Seattle,Security,2015.0,24.0,5.0,Deep Tech R&D,78.0,55.2
DataVentures,37,31,Series A,datadynamics.dev,11.0,Seattle,Healthcare,2019.0,0.0,0.0,Deep Tech R&D,79.0,31.8
SmartDynamics,58,60,Seed,deepsolutions.data,34.0,SF Bay Area,B2B SaaS,2018.0,2.0,0.0,Early Stripe DNA,92.0,45.0
CloudDynamics,332,48,Series C,nextsolutions.data,159.0,Seattle,E-commerce,2016.0,19.0,0.0,Deep Tech R&D,70.0,45.400000000000006
NeuralSolutions,294,65,Series B,nextlabs.ai,191.0,SF Bay Area,Security,2020.0,12.0,4.0,Early Stripe DNA,71.0,60.0
QuantumSystems,435,50,Series B,smartsystems.ai,217.0,LA,Healthcare,2023.0,8.0,0.0,Deep Tech R&D,83.0,43.0
QuantumWorks,212,57,Series A,techworks.ai,120.0,LA,Fintech,2021.0,19.0,0.0,Early Stripe DNA,77.0,47.6
TechWorks,69,60,Series A,neuralanalytics.dev,41.0,LA,AI/ML,2016.0,2.0,0.0,Facebook Social,70.0,52.0
DataAnalytics,43,57,Seed,neuralsolutions.ai,24.0,Seattle,Security,2017.0,4.0,0.0,Enterprise B2B,94.0,35.6
NextAnalytics,72,32,Seed,ailabs.ai,23.0,Boston,B2B SaaS,2016.0,7.0,0.0,Early Stripe DNA,89.0,32.6
SmartVentures,343,35,Series C,aisolutions.data,120.0,Seattle,Developer Tools,2020.0,14.0,0.0,Enterprise B2B,79.0,21.0
DeepSolutions,18,26,Series A,deepsolutions.io,4.0,SF Bay Area,E-commerce,2015.0,0.0,0.0,Early Stripe DNA,93.0,11.8
