profile_id,previous_company,previous_role,transition_date,location,seniority,status,linkedin_url,expertise
88784850-c0d9-4b5e-b49d-0d473cd0237e,Amazon,Engineering Manager,2023-10-20,Seattle,Principal,Failed,linkedin.com/in/rhill,Security
0ad2c5f2-b9ac-4190-859b-97502ae8ad4d,Meta,Senior ML Engineer,2024-02-01,NYC,Senior,Stealth,linkedin.com/in/uyoung,Full Stack
14600a17-671c-47ac-83d6-274c09230c1f,Google,Engineering Manager,2024-08-21,Austin,Principal,Stealth,linkedin.com/in/keith93,Infrastructure
bc9aa840-db03-42d5-9a88-b6fc837402af,Google,Principal Engineer,2024-06-22,NYC,Staff,Raised Seed,linkedin.com/in/michaelstevens,Security
780ceeb9-73ef-4559-badc-4e999b41db59,Meta,Engineering Manager,2025-05-06,SF Bay Area,Staff,Launched,linkedin.com/in/frankmark,Distributed Systems
2ec915de-d0f8-42ec-a8fc-cc169ec2e6f9,Google,Senior Engineer,2024-09-06,Seattle,Principal,Failed,linkedin.com/in/toni27,Security
35b9294c-b860-4d23-af64-134923dc165f,Apple,Distinguished Engineer,2025-02-21,Boston,Director,Stealth,linkedin.com/in/michelle54,Security
6971ef2b-59d7-4fe9-8f44-cb06ab9d49c9,Google,Senior Engineer,2024-06-05,Seattle,Staff,Stealth,linkedin.com/in/pcollins,Infrastructure
b936a72e-d43f-4654-aa85-22cdd10bbf6a,Google,Principal Engineer,2023-11-26,SF Bay Area,Principal,Stealth,linkedin.com/in/christopherkirk,Infrastructure
407dca76-8990-4ccc-bd82-c410b1e633fa,Amazon,Principal Engineer,2025-01-14,LA,Senior,Stealth,linkedin.com/in/donna88,Full Stack
7b816859-091b-42ed-b1b2-154976fd246a,Meta,Distinguished Engineer,2023-10-12,SF Bay Area,Senior,Stealth,linkedin.com/in/caitlin66,ML/AI
f3898388-9ad5-474a-a94d-d862af28f854,Google,ML Engineer,2024-07-07,Boston,Principal,Stealth,linkedin.com/in/theresa31,ML/AI
0fe11e7c-6356-40ba-a9ca-8940849e6f14,Amazon,Senior ML Engineer,2025-06-13,NYC,Senior,Launched,linkedin.com/in/vserrano,Security
a590eeb3-49e4-472d-b99e-2b040717a536,Google,Principal Engineer,2024-07-15,Seattle,Senior,Stealth,linkedin.com/in/mallen,Data Engineering
7460cbb7-a249-44fb-b111-cceff07af167,Meta,Staff Engineer,2025-02-11,Boston,Principal,Stealth,linkedin.com/in/vincentrussell,Security
ac28b8c3-e84f-456d-a48c-28f49004fd77,Meta,Staff Engineer,2024-06-22,Seattle,Senior,Stealth,linkedin.com/in/ryanjones,Infrastructure
a0ea3465-b277-446a-86cb-c2a3b8daa8ed,Google,ML Engineer,2023-10-03,Boston,Director,Raised Seed,linkedin.com/in/chase53,Full Stack
1e3b2553-6ad3-49a8-bb3c-446ca9cdf9b3,Microsoft,Engineering Manager,2024-06-02,Austin,Staff,Raised Seed,linkedin.com/in/alvaradobrad,Distributed Systems
2230cff6-de84-4757-8824-4cbd36155705,Google,Staff Engineer,2024-04-07,Seattle,Staff,Stealth,linkedin.com/in/eduncan,Infrastructure
4e77bac8-efc9-4ea3-af5b-491d506f41b7,Meta,Distinguished Engineer,2025-05-16,Austin,Principal,Stealth,linkedin.com/in/rebeccajohnston,Data Engineering
44ff10af-69f6-4783-ba5d-a0f2b8abdbd8,Google,Senior Engineer,2023-08-07,Austin,Principal,Stealth,linkedin.com/in/amandapaul,Full Stack
1dd27f2b-da67-4754-87d3-2909eaed4af1,Google,Staff Engineer,2023-11-25,NYC,Director,Raised Seed,linkedin.com/in/robertbell,Security
4a59ffc3-7e3b-4642-9fcc-da73a0b9df39,Google,Engineering Manager,2024-02-09,NYC,Staff,Launched,linkedin.com/in/amanda21,Infrastructure
dcb7cb97-899a-44e8-bf9c-19afef329085,Google,Distinguished Engineer,2024-03-25,LA,Principal,Stealth,linkedin.com/in/nicole67,Infrastructure
eda2c18d-3ba9-4417-8d9b-c7d875569761,Amazon,Senior Engineer,2024-12-16,LA,Senior,Stealth,linkedin.com/in/victorialyons,Full Stack
40382731-f43c-4623-8dc1-8127d9ba004b,Microsoft,Senior Engineer,2024-01-01,LA,Staff,Launched,linkedin.com/in/jason23,Infrastructure
2073aaf9-b61c-49a4-8844-ea6434770bc8,Netflix,Senior ML Engineer,2024-04-01,NYC,Principal,Raised Seed,linkedin.com/in/sowen,Full Stack
70221add-a92d-4ef4-8536-a8c14590d3c9,Meta,Staff Engineer,2024-06-20,Boston,Staff,Raised Seed,linkedin.com/in/gwatson,Security
2a516c46-7cb4-406c-a109-17ac9900d1a3,Google,Senior ML Engineer,2025-03-02,SF Bay Area,Director,Stealth,linkedin.com/in/evansedward,Infrastructure
bd403a91-da5e-4de7-bcef-8ca0a36a5396,Google,Director of Engineering,2024-08-27,SF Bay Area,Staff,Stealth,linkedin.com/in/newmananthony,Infrastructure
b989b0f4-83e7-488e-bffb-73fbc2400914,Amazon,Engineering Manager,2024-02-27,Seattle,Director,Stealth,linkedin.com/in/smithronald,Full Stack
bf686c66-d6a0-4e2c-a97a-a294b57d063a,Apple,ML Engineer,2024-07-26,LA,Director,Stealth,linkedin.com/in/diazamy,ML/AI
3ba68435-bf83-4e85-b3db-12d9c284872b,Google,Director of Engineering,2025-05-12,SF Bay Area,Director,Stealth,linkedin.com/in/harmonandrew,Security
fe9cf8b6-b0d6-4c10-bed0-e517bf9becb5,Google,Senior ML Engineer,2023-12-06,NYC,Director,Raised Seed,linkedin.com/in/scottdylan,ML/AI
417a4d6d-3e0f-4350-8e23-16e14b3ec8aa,Google,Principal Engineer,2024-11-12,LA,Principal,Failed,linkedin.com/in/saraquinn,Data Engineering
7e505ccd-8840-4f60-ad8e-65b38be2d404,Apple,Staff Engineer,2024-09-24,NYC,Director,Stealth,linkedin.com/in/luis54,Data Engineering
ae278234-6436-4a52-9e4e-40f3a9ce3935,Google,ML Engineer,2025-04-15,Austin,Senior,Raised Seed,linkedin.com/in/jamie27,ML/AI
018369da-c9c0-4a6a-a2cd-3acb6ea4e1eb,Meta,Principal Engineer,2025-01-13,LA,Director,Launched,linkedin.com/in/jerome56,Full Stack
1670723f-dfec-4c58-9fe0-0cb3dc918a42,Apple,Principal Engineer,2024-10-30,SF Bay Area,Director,Stealth,linkedin.com/in/jonathan98,Distributed Systems
deefea95-3fa3-4d26-b6ac-9ea83623cfae,Amazon,Director of Engineering,2025-05-08,NYC,Senior,Stealth,linkedin.com/in/thorton,ML/AI
31a5ae12-f744-4d6a-97be-0a2735a33405,Apple,Principal Engineer,2025-03-13,Seattle,Staff,Launched,linkedin.com/in/novakrobert,Data Engineering
41701a68-434e-498d-95f7-57d5889915d1,Google,Senior ML Engineer,2023-12-28,NYC,Director,Stealth,linkedin.com/in/hoffmanvictoria,Security
e28ba1ac-e743-45ba-9203-371ed4136425,Google,Principal Engineer,2025-06-06,NYC,Staff,Stealth,linkedin.com/in/iburke,Full Stack
2537e718-9fcf-435e-a0e9-736e8b39a2b7,Meta,ML Engineer,2023-08-27,NYC,Staff,Launched,linkedin.com/in/courtney24,ML/AI
1ae7e03d-acdb-4540-b88d-ad7f8e993764,Apple,Senior ML Engineer,2024-02-20,NYC,Staff,Stealth,linkedin.com/in/thomasmichaela,Security
e25b8d43-f958-48f8-95eb-a1044f1ef796,Google,Senior ML Engineer,2024-06-13,Boston,Staff,Launched,linkedin.com/in/loripowell,ML/AI
